q,p,lo,hi,coverage,n_local,method,cond_number
822,1,0.501891611323672,0.657314420378856,0.15544629286229839,789,interval,1293898.3355401698
823,0,0.480844103580388,0.656524914414895,0.1757759670090588,917,interval,1474949.3182389773
823,1,0.178028439677261,0.750927757648083,0.5729858809223023,1000,interval_capped,962934.8557596974
824,0,0.0426025864178481,0.592722352411754,0.5504177341796663,1000,interval_capped,1659189.1921247283
824,1,0.777205756587634,0.947303793257453,0.1701237378491244,852,interval,2007100.1285873416
825,0,0.733236889334171,0.838311308655511,0.10513133208112502,516,interval,1083302.2037939064
825,1,0.636515487690561,0.719992501111465,0.0834896264864738,437,interval,1422008.4911141351
826,0,0.484628096649438,0.619480963679342,0.13492590905932628,710,interval,1529988.918872634
826,1,0.0237617689863843,0.84007169585736,0.8164332682581551,1000,interval_capped,1850338.2920028653
827,0,0.172036517182813,0.670607930807531,0.4988414610376143,1000,interval_capped,2710473.656732838
827,1,0.0418065403864819,0.61751804282163,0.5757984902972186,1000,interval_capped,990512.0756315433
828,0,0.754472000266119,0.926124947542871,0.17174592178965292,847,interval,978832.1418258259
828,1,0.764313791046638,0.830761361141161,0.06645761007468291,342,interval,2129800.30617606
829,0,0.519714110599494,0.650800167867453,0.13115705903353278,699,interval,1511191.8666724218
829,1,0.411982205513542,0.887907628831339,0.47599733387526255,1000,interval_capped,1150191.7452780807
830,0,0.742123121284763,0.961394675251124,0.21939032073527756,1000,interval_capped,1812639.3221462378
830,1,0.0807751824470213,0.262252646294037,0.18150488441535115,911,interval,1281034.4055612239
831,0,0.635324897667306,0.927686288205275,0.29251974586077323,1000,interval_capped,1484335.8855590068
831,1,0.23550303847858,0.634339506135494,0.3988967303605259,1000,interval_capped,1733619.4493972328
832,0,0.356935684228739,0.420077906710764,0.06317642298642581,336,interval,1198972.5517296318
832,1,0.804196810159566,0.830411422200673,0.026218572971272208,144,interval,1206455.0759032585
833,0,0.785449099463337,0.953704910849862,0.16834694586661755,835,interval,1128378.8353012644
833,1,0.134563559511823,0.836805396245196,0.702347942857318,1000,interval_capped,990424.2219141264
834,0,0.827340812221272,0.98480541160944,0.15754988889038474,786,interval,1284486.2270805184
834,1,0.770682361864209,0.966168666337997,0.19551584172572464,974,interval,2466238.6592360605
835,0,0.637220650626675,0.67311007025047,0.03590885885487584,186,interval,1047004.9466391667
835,1,0.0227534426436561,0.634511707064463,0.6118506988142504,1000,interval_capped,1738321.9150795622
836,0,0.104399962098031,0.271715310191809,0.1674059731790834,822,interval,2663897.68694941
836,1,0.215798443704167,0.717199482439906,0.5014767985637346,1000,interval_capped,1284687.914208305
837,0,0.182544660631489,0.289551867607475,0.10706516661549888,516,interval,2525158.4889990264
837,1,0.775130125061167,0.784193839478982,0.009065083911278868,43,interval,1906040.3736722374
838,0,0.15327743599847,0.519056041999458,0.36597672719996577,1000,interval_capped,1467900.033322936
838,1,0.0469279182728243,0.34282540666271,0.2959421973974324,1000,interval_capped,1070796.371883628
839,0,0.107065851377598,0.608731830594082,0.5019377027772886,1000,interval_capped,1113129.0274617132
839,1,0.187123351692193,0.792332533899411,0.6053006270587505,1000,interval_capped,1278792.3190329408
840,0,0.292296378109773,0.717985046018192,0.4259192389366137,1000,interval_capped,1207675.1245997057
840,1,0.209938644235685,0.87454391271547,0.6647056878585561,1000,interval_capped,1859796.791521385
841,0,0.192622039661656,0.82502933301872,0.6327498319559504,1000,interval_capped,988561.122719424
841,1,0.303933408591523,0.371718294558341,0.06779512801042142,359,interval,2224321.4310657484
842,0,0.108483225148455,0.542946062577329,0.43469816091923275,1000,interval_capped,1336237.9539506617
842,1,0.488300765330589,0.669593548613357,0.18132017594655853,913,interval,2445110.366724598
843,0,0.361141612097195,0.656002011044765,0.2950201078392661,1000,interval_capped,1579608.425753667
843,1,0.811422389550403,0.976345392912779,0.16494792261343846,822,interval,1351382.0071774248
844,0,0.00689746703397901,0.223768800877631,0.21698880055160075,1000,interval_capped,1155505.4845216582
844,1,0.217227476904367,0.822298679739303,0.6051626268382997,1000,interval_capped,1700779.3612905354
845,0,0.0875741173035646,0.786729056476915,0.6995336311267555,1000,interval_capped,2140164.3971176157
845,1,0.697129865396532,0.815637371403599,0.11852541204949155,600,interval,1252072.483233056
846,0,0.921175302054431,0.93470404438245,0.013536070068369937,73,interval,1155208.0529819524
846,1,0.577964695003316,0.785636686231069,0.2077033696915363,1000,interval_capped,1716640.4897919588
847,0,0.0862129485933446,0.387743141618112,0.30169351455967947,1000,interval_capped,2120736.0069947494
847,1,0.0214267892192796,0.691567454773778,0.6702419213111344,1000,interval_capped,1811988.7210215156
848,0,0.0755675470067657,0.150174345589118,0.07464720878717163,367,interval,2147480.169217641
848,1,0.594281491980594,0.83419473130989,0.2399494893254892,1000,interval_capped,1999971.5691339455
849,0,0.0950320114023409,0.367771472547401,0.27288718839909876,1000,interval_capped,987604.442268088
