,model_type,n_width,n_layers,l2_relative,time_fit,xlim_min,xlim_max,n_dim,n_points_train,n_points_test,random_seed
153,randomfeatures,64,1,0.005537240612387313,0.024226903915405273,-1,1,2,10000,10000,4
154,randomfeatures,64,1,0.005875131707705607,0.024734973907470703,-1,1,2,10000,10000,5
155,randomfeatures,101,1,0.005273934669838564,0.04040241241455078,-1,1,2,10000,10000,1
156,randomfeatures,101,1,0.004320116355715099,0.045079946517944336,-1,1,2,10000,10000,2
157,randomfeatures,101,1,0.005174777332082835,0.04791116714477539,-1,1,2,10000,10000,3
158,randomfeatures,101,1,0.005396395195062246,0.04839777946472168,-1,1,2,10000,10000,4
159,randomfeatures,101,1,0.005033259195332608,0.048584699630737305,-1,1,2,10000,10000,5
160,randomfeatures,161,1,0.004384835946520537,0.07839417457580566,-1,1,2,10000,10000,1
161,randomfeatures,161,1,0.004338135493768305,0.07788586616516113,-1,1,2,10000,10000,2
162,randomfeatures,161,1,0.004055571267137102,0.07791662216186523,-1,1,2,10000,10000,3
163,randomfeatures,161,1,0.004176769684438955,0.08191657066345215,-1,1,2,10000,10000,4
164,randomfeatures,161,1,0.004161913605404808,0.0777587890625,-1,1,2,10000,10000,5
165,randomfeatures,256,1,0.0038415128547976077,0.12674427032470703,-1,1,2,10000,10000,1
166,randomfeatures,256,1,0.003821585486943173,0.12826323509216309,-1,1,2,10000,10000,2
167,randomfeatures,256,1,0.003821719567023354,0.1270885467529297,-1,1,2,10000,10000,3
168,randomfeatures,256,1,0.003961100714581718,0.12730669975280762,-1,1,2,10000,10000,4
169,randomfeatures,256,1,0.003798225226274779,0.1275036334991455,-1,1,2,10000,10000,5
170,randomfeatures,406,1,0.003855020460283498,0.20787739753723145,-1,1,2,10000,10000,1
171,randomfeatures,406,1,0.0038065437860107195,0.2108631134033203,-1,1,2,10000,10000,2
172,randomfeatures,406,1,0.0037791037633744845,0.20418000221252441,-1,1,2,10000,10000,3
173,randomfeatures,406,1,0.003838220410776802,0.20344138145446777,-1,1,2,10000,10000,4
174,randomfeatures,406,1,0.0037300857132312715,0.20293068885803223,-1,1,2,10000,10000,5
175,randomfeatures,645,1,0.0035986817523493593,0.3470346927642822,-1,1,2,10000,10000,1
176,randomfeatures,645,1,0.0037735632477365597,0.34471702575683594,-1,1,2,10000,10000,2
177,randomfeatures,645,1,0.0036506720862843583,0.3446471691131592,-1,1,2,10000,10000,3
178,randomfeatures,645,1,0.0038188020371405394,0.34332752227783203,-1,1,2,10000,10000,4
179,randomfeatures,645,1,0.003726136073934565,0.3471996784210205,-1,1,2,10000,10000,5
180,randomfeatures,1024,1,0.0034963327947649175,0.7399487495422363,-1,1,2,10000,10000,1
181,randomfeatures,1024,1,0.0037393769771233284,0.7312304973602295,-1,1,2,10000,10000,2
182,randomfeatures,1024,1,0.0032020126176993454,1.2298674583435059,-1,1,2,10000,10000,3
183,randomfeatures,1024,1,0.0035010208067676333,0.9352824687957764,-1,1,2,10000,10000,4
184,randomfeatures,1024,1,0.003637923851009045,1.245408058166504,-1,1,2,10000,10000,5
185,randomfeatures,1625,1,0.0031461018310236077,3.24641752243042,-1,1,2,10000,10000,1
