,model_type,n_width,n_layers,l2_relative,time_fit,xlim_min,xlim_max,n_dim,n_points_train,n_points_test
149,sampling,458,2,0.007157523243666656,0.34286069869995117,-1,1,3,10000,10000
150,sampling,571,2,0.005655894488186883,0.46161603927612305,-1,1,3,10000,10000
151,sampling,710,2,0.0045417440406858405,0.6411421298980713,-1,1,3,10000,10000
152,sampling,884,2,0.0039052442345778437,0.8241846561431885,-1,1,3,10000,10000
153,sampling,1101,2,0.0032745593114490543,1.1159486770629883,-1,1,3,10000,10000
154,sampling,1371,2,0.002716104799891505,1.5378053188323975,-1,1,3,10000,10000
155,sampling,1706,2,0.0023000863548993753,2.288477659225464,-1,1,3,10000,10000
156,sampling,2124,2,0.001799724299783371,3.699005126953125,-1,1,3,10000,10000
157,sampling,2643,2,0.0013016370128466623,6.327815771102905,-1,1,3,10000,10000
158,sampling,3290,2,0.0008075547510501069,11.0010404586792,-1,1,3,10000,10000
159,sampling,4096,2,0.0006153093887271065,19.515608549118042,-1,1,3,10000,10000
160,sampling,64,3,0.0675696871142123,0.0316157341003418,-1,1,3,10000,10000
161,sampling,79,3,0.06828487226209165,0.0466761589050293,-1,1,3,10000,10000
162,sampling,99,3,0.05163336425345331,0.06052064895629883,-1,1,3,10000,10000
163,sampling,123,3,0.04635525041835017,0.07762336730957031,-1,1,3,10000,10000
164,sampling,153,3,0.029150039604301247,0.09514713287353516,-1,1,3,10000,10000
165,sampling,191,3,0.02312383145403614,0.12056088447570801,-1,1,3,10000,10000
166,sampling,237,3,0.017477625945230835,0.16117191314697266,-1,1,3,10000,10000
167,sampling,296,3,0.012715416875399083,0.21479511260986328,-1,1,3,10000,10000
168,sampling,368,3,0.009439398824179757,0.2688634395599365,-1,1,3,10000,10000
169,sampling,458,3,0.006764001312345599,0.4359757900238037,-1,1,3,10000,10000
170,sampling,571,3,0.005722431048906258,0.5407824516296387,-1,1,3,10000,10000
171,sampling,710,3,0.004370449559147654,0.7111060619354248,-1,1,3,10000,10000
172,sampling,884,3,0.0038570508367959306,0.9559998512268066,-1,1,3,10000,10000
173,sampling,1101,3,0.0033835704701133448,1.256171703338623,-1,1,3,10000,10000
174,sampling,1371,3,0.0027533142924114976,1.9710931777954102,-1,1,3,10000,10000
175,sampling,1706,3,0.0026325926559806825,2.854567766189575,-1,1,3,10000,10000
176,sampling,2124,3,0.0026827583463459054,4.477060079574585,-1,1,3,10000,10000
177,sampling,2643,3,0.0024363931516357203,7.311388254165649,-1,1,3,10000,10000
178,sampling,3290,3,0.0015595163255271596,12.35565733909607,-1,1,3,10000,10000
179,sampling,4096,3,0.00117121958369369,21.52975368499756,-1,1,3,10000,10000
180,sampling,64,1,0.025107349746861834,0.015014171600341797,-1,1,4,10000,10000
181,sampling,79,1,0.02108816418606328,0.020026206970214844,-1,1,4,10000,10000
182,sampling,99,1,0.01878679066013222,0.02648019790649414,-1,1,4,10000,10000
183,sampling,123,1,0.01634877965093166,0.03408336639404297,-1,1,4,10000,10000
184,sampling,153,1,0.013612551205644056,0.0439295768737793,-1,1,4,10000,10000
185,sampling,191,1,0.011671744013424029,0.05665707588195801,-1,1,4,10000,10000
186,sampling,237,1,0.009916328174927377,0.0702669620513916,-1,1,4,10000,10000
187,sampling,296,1,0.008147095658052541,0.0953371524810791,-1,1,4,10000,10000
188,sampling,368,1,0.00708891279436521,0.1285717487335205,-1,1,4,10000,10000
189,sampling,458,1,0.0059561181704253785,0.20003175735473633,-1,1,4,10000,10000
190,sampling,571,1,0.00528425242702406,0.27469730377197266,-1,1,4,10000,10000
191,sampling,710,1,0.004385714544109103,0.34859466552734375,-1,1,4,10000,10000
192,sampling,884,1,0.003697582229556303,0.4837491512298584,-1,1,4,10000,10000
193,sampling,1101,1,0.0031474486070631035,0.6856646537780762,-1,1,4,10000,10000
194,sampling,1371,1,0.0027155099225182923,1.1335220336914062,-1,1,4,10000,10000
195,sampling,1706,1,0.0027655153357391063,1.7411952018737793,-1,1,4,10000,10000
196,sampling,2124,1,0.0026560654933251797,3.02760648727417,-1,1,4,10000,10000
197,sampling,2643,1,0.0028064968608645414,5.373061656951904,-1,1,4,10000,10000
198,sampling,3290,1,0.0018470352941382568,9.705511569976807,-1,1,4,10000,10000
199,sampling,4096,1,0.0015283258993274368,17.63877582550049,-1,1,4,10000,10000
200,sampling,64,2,0.07014632003497698,0.02346944808959961,-1,1,4,10000,10000
201,sampling,79,2,0.06496236346225293,0.03291940689086914,-1,1,4,10000,10000
202,sampling,99,2,0.05572869860550277,0.042221784591674805,-1,1,4,10000,10000
203,sampling,123,2,0.048464386516851025,0.05593228340148926,-1,1,4,10000,10000
204,sampling,153,2,0.030843309746005763,0.07036590576171875,-1,1,4,10000,10000
205,sampling,191,2,0.0235948710987058,0.09030032157897949,-1,1,4,10000,10000
206,sampling,237,2,0.018761651746202455,0.1159830093383789,-1,1,4,10000,10000
207,sampling,296,2,0.01624441620359602,0.1499006748199463,-1,1,4,10000,10000
208,sampling,368,2,0.011518663712432362,0.20656394958496094,-1,1,4,10000,10000
209,sampling,458,2,0.00957668791913339,0.34560227394104004,-1,1,4,10000,10000
210,sampling,571,2,0.006670972331224925,0.48635149002075195,-1,1,4,10000,10000
211,sampling,710,2,0.005889142927277512,0.6293923854827881,-1,1,4,10000,10000
212,sampling,884,2,0.004789711952870926,0.8408441543579102,-1,1,4,10000,10000
