,architecture,n_hidden_channels,n_layers,n_modes,batch_size,learning_rate,n_epochs,patience,weight_decay,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,seed
139,fno,32,4,8,64,0.001,2000,100,0.0,0.0006494123577657674,0.0006686865190664927,0.0006893726885318756,2643.0051907170564,568060895
140,fno,16,1,8,64,0.001,2000,100,0.0,0.013182997206846873,0.012999019145965577,0.012966022650400798,1235.450789324008,776937777
141,fno,32,4,32,64,0.0005,2000,100,0.0,0.0005131717506382201,0.0005166943048437436,0.0005420136364797751,2644.8302922584116,638861025
142,fno,32,2,8,64,0.005,2000,100,0.0,0.0009379746483431922,0.000987171637515227,0.0010019092236955962,2195.9866733429953,404336192
143,fno,32,4,8,64,0.0005,2000,100,0.0,0.000795437267050147,0.0008331574214001496,0.0008661679786940415,2958.5604841466993,758881203
144,fno,16,4,16,64,0.001,2000,100,0.0,0.0003919624486524198,0.00040082937106490136,0.0004101510960608721,3106.4563892865553,721075892
145,fno,16,1,8,64,0.0005,2000,100,0.0,0.013318230787913004,0.01315221228202184,0.013132079402605693,1271.0008092531934,808101757
146,fno,16,1,32,64,0.005,2000,100,0.0,0.0006767777378360431,0.0006628203180929025,0.0006826059147715569,1205.8564109420404,252386905
147,fno,32,4,32,64,0.0005,2000,100,0.0,0.00048773323434094586,0.0004868507335583369,0.0005139999526242415,2666.892867680639,656226196
148,fno,16,2,32,64,0.0005,2000,100,0.0,0.0006193290911614894,0.0006304585921267669,0.0006514018656065066,1706.7650998085737,816179536
149,fno,16,4,16,64,0.005,2000,100,0.0,0.0003663202333781454,0.00037728492046395937,0.0003793980690340201,3110.2432073242962,739782559
150,fno,16,4,16,64,0.001,2000,100,0.0,0.0005108106800665458,0.0005234584572414557,0.0005259034366657336,3619.6396753648296,80968612
151,fno,32,4,32,64,0.001,2000,100,0.0,0.00040928490335742635,0.0004330677681912978,0.0004399754001448552,2121.187992698513,326796348
152,fno,16,2,8,64,0.0005,2000,100,0.0,0.002323226935333676,0.0022961239218711855,0.0023286798124512037,2117.3217707891017,576576184
153,fno,16,2,16,64,0.005,2000,100,0.0,0.00040086607738501495,0.00040349564887583254,0.0004127871102343003,992.8641992108896,876224565
154,fno,32,1,32,64,0.001,2000,100,0.0,0.0008044933026863469,0.0007964307616154353,0.0008186118664840857,1223.9526163283736,365784196
155,fno,32,1,16,64,0.0001,2000,100,0.0,0.0016726659660538038,0.0016419209415713947,0.0016855932672818503,960.7972923228517,184147199
156,fno,16,2,8,64,0.001,2000,100,0.0,0.0021112175542447303,0.0020764928236603735,0.0021015784069895746,2193.9602929037064,164715542
157,fno,16,4,16,64,0.005,2000,100,0.0,0.00037941491252018345,0.0003962144342561563,0.0003973165024071932,2926.793023617007,507494458
158,fno,16,2,32,64,0.005,2000,100,0.0,0.00036832702946331764,0.00037855276465415953,0.0003762062198172013,1918.3818067507818,904754958
159,fno,16,2,8,64,0.0005,2000,100,0.0,0.003816640208164851,0.0038703928689161936,0.003832144007086754,1507.0063497386873,197994071
160,fno,16,4,8,64,0.0005,2000,100,0.0,0.0011537970188591215,0.001160815934340159,0.001186165320376555,3051.2172394106165,786727353
161,fno,16,4,32,64,0.0005,2000,100,0.0,0.0004125182316121128,0.0004096607541044553,0.00043463939428329466,2906.6882530003786,831364464
162,fno,32,1,16,64,0.0001,2000,100,0.0,0.0016927627333336406,0.0016935546025633812,0.0017561818212270736,1184.5705721341074,735122480
163,fno,32,2,16,64,0.0001,2000,100,0.0,0.0007456890708870358,0.0007201985170443853,0.000782977477957805,1720.9598271362484,917980386
164,fno,32,4,16,64,0.0001,2000,100,0.0,0.0006861524163848824,0.0006880685600141684,0.0007309346819917361,2281.9968913337216,10245511
165,fno,32,1,16,64,0.001,2000,100,0.0,0.0008429781885610686,0.00082268841813008,0.0008538719924787681,1138.1850915290415,5199327
166,fno,16,4,8,64,0.0005,2000,100,0.0,0.001087346774008539,0.0010904581596453986,0.0011235808630784352,3066.0053272824734,911506013
167,fno,16,2,16,64,0.0001,2000,100,0.0,0.0014539500603245365,0.0014003842795888583,0.0015402729424337546,1995.8319967286661,687919677
168,fno,32,1,8,64,0.005,2000,100,0.0,0.01353894939687517,0.013400072614351909,0.013352714896202088,272.8020124612376,694318430
169,fno,16,1,8,64,0.0001,2000,100,0.0,0.015209610137674544,0.015003799815972645,0.015256470342477162,1285.9399594692513,618108885
170,fno,16,2,16,64,0.0001,2000,100,0.0,0.0017462463892168468,0.0016812095443407694,0.0018333139295379321,1725.167387043126,756970558
171,fno,16,1,32,64,0.005,2000,100,0.0,0.00071485853402151,0.0007155960251887639,0.0007357112454871337,1443.9626965429634,347238564
172,fno,32,2,16,64,0.001,2000,100,0.0,0.0005062646745807595,0.0005076217303673427,0.0005277540305008491,840.9687123838812,675435798
173,fno,16,4,8,64,0.001,2000,100,0.0,0.0010980370653172335,0.0011215271006027859,0.0011291757536431154,1444.7023470299318,31257985
174,fno,32,1,8,64,0.005,2000,100,0.0,0.013010490834712982,0.012881936252117157,0.012811248580614725,806.779612923041,263219538
175,fno,16,1,8,64,0.0001,2000,100,0.0,0.014084718260500166,0.013888400276501973,0.013994706392288208,1208.5253210803494,89798057
176,fno,16,1,32,64,0.005,2000,100,0.0,0.0006701837124096023,0.0006743081236879031,0.0006925252812604109,1395.7761173890904,832780425
177,fno,32,2,16,64,0.001,2000,100,0.0,0.0004678712265772952,0.00047188210487365725,0.0004800117959578832,1573.4141823062673,942536588
178,fno,16,4,8,64,0.001,2000,100,0.0,0.001213818127910296,0.0012289660274982452,0.0012591599375009538,3036.729263587855,228470193
179,fno,16,4,32,64,0.0005,2000,100,0.0,0.0004612184117237727,0.0004468090279648701,0.0004780967527379592,3012.8521021883935,562396086
180,fno,32,4,32,64,0.001,2000,100,0.0,0.00040694082756009364,0.00043576988329490024,0.00043354240556557974,2565.1380498297513,844416566
181,fno,32,2,32,64,0.001,2000,100,0.0,0.0004520172445724408,0.00045429984604318936,0.0004744128789752722,1612.2009165082127,537517854
182,fno,16,4,32,64,0.0005,2000,100,0.0,0.0006040700289110342,0.0006135220465560754,0.0006427748259156943,3202.806823433377,394772809
183,fno,32,4,8,64,0.0005,2000,100,0.0,0.0007431919400890668,0.0007725339730580647,0.0007826194129884243,3155.7475315360352,170078143
