,architecture,layer_width,n_hidden_channels,n_layers,n_modes,regularization_scale,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,seed
191,fno_swim,512,32,2,8,1e-08,0.005844658445454279,0.006454585058105541,0.006461236861499998,50.00678398180753,850967037
192,fno_swim,1024,16,1,32,1e-08,0.0025267830405285483,0.0031972315428173193,0.003213861999407135,27.173578423447907,288900810
193,fno_swim,512,16,4,16,1e-10,0.006102431840479534,0.007165155435704141,0.0071463160948096365,60.61517083272338,721375436
194,fno_swim,256,16,4,8,1e-06,0.014049946899787813,0.014754718467025507,0.01467883372206586,32.33353604655713,650898994
195,fno_swim,1024,32,4,32,1e-10,0.002466204271948379,0.0031438807589987015,0.0031274146804166378,238.05817575939,335709376
196,fno_swim,256,16,1,32,1e-08,0.012407776843079315,0.013075987820149144,0.012835427516867086,7.834940169937909,639843223
197,fno_swim,2048,16,4,32,1e-08,0.0008699148788167197,0.0014815661795041333,0.0014740613055140136,260.1392487930134,416209824
198,fno_swim,2048,16,4,32,1e-08,0.0009191045223867596,0.001613311450965746,0.0016267863607046624,275.8304278180003,340577769
199,fno_swim,512,32,4,16,1e-10,0.006018038554050634,0.006688922545349607,0.006673720387198938,118.26762657146901,515081606
200,fno_swim,256,16,1,32,1e-06,0.013780031278825381,0.014371847173137714,0.014293945600003946,7.827093361876905,536250770
201,fno_swim,1024,32,2,32,1e-08,0.0024158736976912522,0.0030175633304619916,0.0030124145952623448,113.37154428008944,243709647
202,fno_swim,512,16,1,32,1e-10,0.0062548352731001495,0.006916111628803922,0.0068684926278480005,13.914951691403985,888900692
203,fno_swim,2048,32,1,8,1e-08,0.0008936528059982292,0.0015108570227798026,0.0015245300014538347,110.9990547131747,152314071
204,fno_swim,256,16,2,8,1e-10,0.01295391588520012,0.01340822153386356,0.013376384776813114,15.20119206327945,460394460
205,fno_swim,2048,16,4,8,1e-08,0.0008713959180277858,0.0014715941117183467,0.0014818007827887083,244.26973397657275,489283184
206,fno_swim,1024,32,1,8,1e-06,0.002932023689477143,0.00361423648839187,0.0035638891072165705,44.342128603719175,816552506
207,fno_swim,2048,16,1,32,1e-10,0.0008420622875118833,0.001467780149789961,0.001465618380505654,63.89561172667891,422898900
208,fno_swim,512,32,2,32,1e-08,0.005394577646300776,0.006010358383151834,0.00592665281855074,56.49861981719732,545942283
209,fno_swim,512,32,4,8,1e-08,0.005735169999826192,0.006373903435885424,0.006346684186159977,100.37694386392832,892353312
