,architecture,input_dim,layer_width,n_layers,n_modes,batch_size,learning_rate,n_epochs,patience,print_every,weight_decay,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,seed
161,in_fourier,256,256,2,8,64,5e-05,5000,200,1,0.0,0.003137942709628124,0.004279460183786677,0.004251728565950424,2437.9368653763086,750630443
162,in_fourier,256,256,1,32,64,0.0001,5000,200,1,0.0,0.0046571085744799385,0.004841374655376147,0.004811732064283868,1426.167934074998,827395409
163,in_fourier,256,2048,4,32,64,0.0005,5000,200,1,0.0,0.05127323485587578,0.06703902863973916,0.06678457474059181,1989.9925835030153,177903868
164,in_fourier,256,1024,1,16,64,0.0001,5000,200,1,0.0,0.003231096589182553,0.0036079076636306505,0.0035657251062264574,1405.4343416718766,912849683
165,in_fourier,256,1024,1,8,64,0.0001,5000,200,1,0.0,0.003249620560593591,0.0039004231332065388,0.0038720081527475105,1283.0697235604748,218706486
166,in_fourier,256,1024,4,16,64,0.0001,5000,200,1,0.0,0.012737193462294683,0.04456859900148853,0.04285167508635154,449.3525429153815,642365004
167,in_fourier,256,2048,1,32,64,1e-05,5000,200,1,0.0,0.006534745129994864,0.0077002415253352155,0.007681127278826573,2223.9632005998865,932307630
168,in_fourier,256,1024,1,32,64,0.0005,5000,200,1,0.0,0.005510991414998843,0.005839806225809066,0.00582709788395026,653.9672684622929,225205288
169,in_fourier,256,512,1,8,64,1e-05,5000,200,1,0.0,0.013873019653205608,0.015299033367615605,0.015116160247273261,1927.4802161259577,812241804
170,in_fourier,256,4098,2,16,64,5e-05,5000,200,1,0.0,0.008445226998427261,0.03871290855877744,0.0381027687949497,3082.159817483276,591829928
171,in_fourier,256,512,2,8,64,1e-05,5000,200,1,0.0,0.0055412150397104185,0.03194485215944995,0.030781112972068012,2444.232554418035,696412618
172,in_fourier,256,1024,4,32,64,1e-05,5000,200,1,0.0,0.0031916292058931923,0.025223948937046024,0.02462640639543912,4071.934328478761,654719218
173,in_fourier,256,4098,1,32,64,1e-05,5000,200,1,0.0,0.005962531259987685,0.009335047396613502,0.00936098360476869,2261.712453249842,698099268
174,in_fourier,256,2048,4,32,64,0.0001,5000,200,1,0.0,0.014040332455641132,0.03722690713414243,0.037419215952575725,955.544380620122,336792499
175,in_fourier,256,512,4,8,64,0.0005,5000,200,1,0.0,0.03583268017631323,0.07094374791530943,0.0703201742092872,180.8476555403322,858123112
176,in_fourier,256,4098,1,16,64,0.0005,5000,200,1,0.0,0.008234537154941546,0.010760430654253481,0.010695619454762304,641.3550970582291,31489475
