,n_hidden_channels,n_modes,regularization_scale,n_layers,layer_width,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,architecture,method
160,32,8,1e-08,4,256,0.013689896254705458,0.014386296662066237,0.01420262375333055,61.99266507787009,fno,swim
161,32,8,1e-08,4,512,0.005857804731754973,0.006516109325970941,0.006464735143284234,100.40854470524937,fno,swim
162,32,8,1e-08,4,1024,0.002571687870560585,0.003297991892065506,0.0032997403285922842,197.3868969650939,fno,swim
163,32,8,1e-08,4,2048,0.0008779340762516421,0.001479106223816374,0.0014881721587214128,448.006589602679,fno,swim
164,32,8,1e-08,4,4096,0.0004523625970045047,0.0011132230606361018,0.001126406204179353,1509.9416376802449,fno,swim
165,32,8,1e-06,1,256,0.013618280644974676,0.01429950292996124,0.014205289800848722,13.573472363874316,fno,swim
166,32,8,1e-06,1,512,0.006139985452609831,0.006775350054582467,0.006718719351336998,21.6554752336815,fno,swim
167,32,8,1e-06,1,1024,0.0029128422164490238,0.0035737980953983567,0.0035458248594916583,44.19741995881001,fno,swim
168,32,8,1e-06,1,2048,0.001683678542741573,0.002351220774375945,0.0023702513453317496,109.06868273671716,fno,swim
169,32,8,1e-06,1,4096,0.0011861123117995135,0.0019246080062267036,0.0019310181625459752,384.59936612006277,fno,swim
170,32,8,1e-06,2,256,0.013484955037721577,0.014108894190309423,0.014011186932653094,29.8362272909532,fno,swim
171,32,8,1e-06,2,512,0.006119629605354873,0.006791066431289611,0.006743257793867176,48.573633791568376,fno,swim
172,32,8,1e-06,2,1024,0.002890685163537544,0.003528949037819766,0.0035369309373131995,94.57562904556592,fno,swim
173,32,8,1e-06,2,2048,0.0016640032641319724,0.0023778549858630735,0.002362504471520267,226.29057714653513,fno,swim
174,32,8,1e-06,2,4096,0.0012059334823976055,0.0019743478352676766,0.0019824233677998427,839.0784806084508,fno,swim
175,32,8,1e-06,4,256,0.013496684368801401,0.01415956750097673,0.014061990367387723,62.26868632528931,fno,swim
176,32,8,1e-06,4,512,0.005957235838807459,0.006600185577013487,0.006582965914894015,98.34357215060543,fno,swim
177,32,8,1e-06,4,1024,0.002939205684045452,0.0036564962263564565,0.0036292824625664237,257.12927067341906,fno,swim
178,32,8,1e-06,4,2048,0.0017276957221134847,0.0025094767597808143,0.00251428837596445,658.176613433597,fno,swim
179,32,8,1e-06,4,4096,0.0012320993705835451,0.002040049603193286,0.0020456984875662234,1542.9490407084425,fno,swim
180,32,16,1e-10,1,256,0.01279828632777258,0.013393624223049022,0.013310565400230512,14.468913913704455,fno,swim
181,32,16,1e-10,1,512,0.005966429455694307,0.006608415879499466,0.006554413348878982,24.12593162835886,fno,swim
