,architecture,input_dim,layer_width,n_layers,batch_size,learning_rate,n_epochs,patience,print_every,weight_decay,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,seed
72,fcn,256,2048,1,64,0.0001,2000,100,1,0.0,0.011711616814426768,0.011788970664239326,0.011690656563884924,300.2466140333563,438903170
73,fcn,256,256,1,64,0.0001,2000,100,1,0.0,0.0107730784195596,0.010921226659268458,0.010931417792797462,443.972889280878,19435175
74,fcn,256,1024,1,64,1e-05,2000,100,1,0.0,0.011238839422191811,0.011440876078446741,0.011301423279385932,1019.752119419165,202397913
75,fcn,256,4098,1,64,5e-05,2000,100,1,0.0,0.010887378672486469,0.011008791784473776,0.010891496169138247,844.6321632796898,982256891
76,fcn,256,512,1,64,5e-05,2000,100,1,0.0,0.01146699382573025,0.011579518328363857,0.011559288694382955,588.6656308658421,928267016
77,fcn,256,1024,1,64,0.0001,2000,100,1,0.0,0.010132854492087286,0.010279014035610873,0.010269765966345388,628.631838249974,428903714
78,fcn,256,1024,2,64,0.0001,2000,100,1,0.0,0.005090244252916615,0.005219091648574689,0.005186069317724143,560.9162110248581,505104117
79,fcn,256,512,2,64,0.0001,2000,100,1,0.0,0.0060157537350537475,0.006118958345045914,0.006070524478671425,682.5010759010911,499424258
80,fcn,256,512,4,64,1e-05,2000,100,1,0.0,0.0055447519028331135,0.0056867927035214065,0.005648990449286366,1653.098931604065,539732841
81,fcn,256,4098,1,64,0.0005,2000,100,1,0.0,0.013819130751598288,0.013787283032022011,0.013841473020515081,310.110258561559,253803174
82,fcn,256,256,2,64,0.0001,2000,100,1,0.0,0.005312601769846981,0.005420509606728839,0.0053940607306908065,928.3982153376564,888073004
83,fcn,256,1024,4,64,0.0001,2000,100,1,0.0,0.006969490540083471,0.007151972737022447,0.007099395946498355,408.8627647925168,766584031
84,fcn,256,256,1,64,5e-05,2000,100,1,0.0,0.010686756040222078,0.010823586892797414,0.010780166825495194,626.4510919339955,984423591
85,fcn,256,256,4,64,0.0005,2000,100,1,0.0,0.01159386792587977,0.011903937417906093,0.011664700181456539,214.83327033743262,318136682
86,fcn,256,1024,2,64,5e-05,2000,100,1,0.0,0.0047974086903478565,0.004899590326041466,0.004853346555168672,570.8409178946167,464913237
87,fcn,256,1024,4,64,0.0005,2000,100,1,0.0,0.03828738874890072,0.03846882061337974,0.03813154439644273,128.2669727280736,258574969
88,fcn,256,2048,2,64,0.0005,2000,100,1,0.0,0.0173071728265891,0.017441535648600667,0.017330434773037237,214.61033644061536,734410158
89,fcn,256,512,1,64,1e-05,2000,100,1,0.0,0.013709150612898655,0.013836827267577415,0.013746567990998892,851.3158157067373,58238467
90,fcn,256,512,2,64,0.0005,2000,100,1,0.0,0.006875899900375306,0.0070898279128644,0.007000574423489768,337.5561148254201,215071322
91,fcn,256,2048,4,64,0.0001,2000,100,1,0.0,0.005609473806220543,0.005807589604529132,0.005744744312371375,1502.0925288023427,431427080
92,fcn,256,4098,2,64,0.0001,2000,100,1,0.0,0.003961491574293674,0.004108124351516086,0.0040815265857360745,2604.6541706146672,711449727
93,fcn,256,2048,4,64,5e-05,2000,100,1,0.0,0.004931240740667418,0.005085617580757404,0.005054110160545224,2000.453267822042,672501032
94,fcn,256,4098,4,64,0.0005,2000,100,1,0.0,0.1665569113713086,0.16654195349783743,0.16646462931159725,957.0211359988898,922797074
