,layer_width,n_modes,learning_rate,n_layers,batch_size,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,architecture,method
76,1024,8,5e-05,2,n/a,0.020831778645515442,0.020732183009386063,0.020394880324602127,446.5385452269887,deeponet,adam
77,1024,8,5e-05,4,n/a,0.020935220643877983,0.02084835556646188,0.020521063978473347,481.66356224101037,deeponet,adam
78,1024,8,0.0001,1,n/a,0.021359216421842575,0.021287554254134495,0.020966798687974613,342.45745800839114,deeponet,adam
79,1024,8,0.0001,2,n/a,0.021030102546016376,0.020945226773619652,0.02061746083199978,225.88264759505788,deeponet,adam
80,1024,8,0.0001,4,n/a,0.02109806922574838,0.021036357929309208,0.0207165169219176,388.3467754982412,deeponet,adam
81,1024,8,0.0005,1,n/a,0.02135119338830312,0.021284769599636395,0.02098250202834606,380.28113428937894,deeponet,adam
82,1024,8,0.0005,2,n/a,0.021320438633362453,0.021268786241610844,0.020949550593892734,169.6026713475585,deeponet,adam
83,1024,8,0.0005,4,n/a,0.02281949110329151,0.022888823722799618,0.022586971521377563,148.26888393145055,deeponet,adam
84,1024,16,1e-05,1,n/a,0.005857380572706461,0.006114737596362829,0.006080063215146462,487.92778223442537,deeponet,adam
85,1024,16,1e-05,2,n/a,0.002041637276609739,0.002240265409151713,0.002229020930826664,918.4418990832443,deeponet,adam
86,1024,16,1e-05,4,n/a,0.0017431172309443355,0.0020109714629749456,0.001995095672706763,1516.5713978605345,deeponet,adam
87,1024,16,5e-05,1,n/a,0.005098560669769843,0.005321896014114221,0.005285825114697218,418.3038249410068,deeponet,adam
88,1024,16,5e-05,2,n/a,0.001971544736685852,0.002174725911269585,0.002150266353661815,781.5437524126222,deeponet,adam
89,1024,16,5e-05,4,n/a,0.0025899854178229966,0.002894784246260921,0.002863240816319982,677.9245113013312,deeponet,adam
90,1024,16,0.0001,1,n/a,0.004903843626379967,0.00512380354727308,0.005090967441598575,496.48219619318843,deeponet,adam
91,1024,16,0.0001,2,n/a,0.0029613164563973746,0.00317509938031435,0.0031482348373780646,438.80095244540524,deeponet,adam
92,1024,16,0.0001,4,n/a,0.0038828462517509856,0.004205161550392707,0.00415354633393387,347.1588580813259,deeponet,adam
93,1024,16,0.0005,1,n/a,0.0058971938366691274,0.0061567189792792005,0.006124946599205335,317.1131495889276,deeponet,adam
94,1024,16,0.0005,2,n/a,0.005798639574398597,0.0060425323123733206,0.006006527071197827,137.5832218338425,deeponet,adam
95,1024,16,0.0005,4,n/a,0.0073725441470742226,0.00782055485372742,0.007756903146704038,215.97316940470287,deeponet,adam
96,1024,32,1e-05,1,n/a,0.005736859360088904,0.006016031994173924,0.006005240759501855,595.9888398184752,deeponet,adam
97,1024,32,1e-05,2,n/a,0.0016677188298975427,0.001840768343148132,0.0018315751804038882,828.4537653516358,deeponet,adam
98,1024,32,1e-05,4,n/a,0.0015780071650321286,0.0018496965834250052,0.0018368075446536143,1623.296104455677,deeponet,adam
99,1024,32,5e-05,1,n/a,0.004396253886322181,0.0045991431300838785,0.0045959434161583585,494.0459335707128,deeponet,adam
100,1024,32,5e-05,2,n/a,0.0015341966257741053,0.0017112938997646172,0.0016998624584327142,863.6026144990077,deeponet,adam
101,1024,32,5e-05,4,n/a,0.0017850231767321627,0.0020971635822206736,0.002091497842532893,1033.1215481894712,deeponet,adam
102,1024,32,0.0001,1,n/a,0.004247712126622598,0.00444993485386173,0.004433956773330768,533.437949595352,deeponet,adam
103,1024,32,0.0001,2,n/a,0.002046066530359288,0.002236568368971348,0.0022147822504242263,486.6584158539772,deeponet,adam
104,1024,32,0.0001,4,n/a,0.002599952043965459,0.0029868982577075562,0.002974024120097359,569.8745418094719,deeponet,adam
105,1024,32,0.0005,1,n/a,0.005613173047701518,0.0058228921455641585,0.005771442782133818,228.06117868392417,deeponet,adam
106,1024,32,0.0005,2,n/a,0.006069782190024853,0.006259909986207883,0.006189913178483645,135.62605583140007,deeponet,adam
107,1024,32,0.0005,4,n/a,0.0069416118785738945,0.00759261396403114,0.007501311755428712,200.67461358041814,deeponet,adam
108,2048,8,1e-05,1,n/a,0.02135808455447356,0.02130325324833393,0.020976318046450615,656.4829046254357,deeponet,adam
109,2048,8,1e-05,2,n/a,0.02075892562667529,0.02064561719695727,0.020311549305915833,1813.1892235145594,deeponet,adam
110,2048,8,1e-05,4,n/a,0.020840628072619438,0.020742779597640038,0.02041047749420007,2325.642181261753,deeponet,adam
111,2048,8,5e-05,1,n/a,0.021317805474003155,0.021248621866106987,0.02092859335243702,551.3590758318702,deeponet,adam
112,2048,8,5e-05,2,n/a,0.020966726665695507,0.02088346891105175,0.020549335827430088,695.6163275372237,deeponet,adam
113,2048,8,5e-05,4,n/a,0.020965537677208584,0.02090894679228465,0.020578257118662197,1513.4805571064353,deeponet,adam
114,2048,8,0.0001,1,n/a,0.021608666827281315,0.0215557465950648,0.021228528892000515,389.0048140855506,deeponet,adam
115,2048,8,0.0001,2,n/a,0.02119637777407964,0.021127892658114433,0.020801442364851635,543.2242455286905,deeponet,adam
116,2048,8,0.0001,4,n/a,0.02106618694961071,0.021023495122790337,0.020705226808786392,1073.9683490190655,deeponet,adam
117,2048,8,0.0005,1,n/a,0.021872930228710175,0.021821480244398117,0.021522180487712223,248.32819698750973,deeponet,adam
118,2048,8,0.0005,2,n/a,0.021680387978752453,0.021644676725069683,0.021325938403606415,334.4637491979326,deeponet,adam
119,2048,8,0.0005,4,n/a,0.02439468043545882,0.024457213158408802,0.02417128471036752,403.94731627901393,deeponet,adam
120,2048,16,1e-05,1,n/a,0.005390286135176818,0.0056554873784383135,0.0056126077348987264,638.1934294210126,deeponet,adam
121,2048,16,1e-05,2,n/a,0.001990160051112374,0.0021906846668571234,0.0021660340329011283,1876.1061643793557,deeponet,adam
122,2048,16,1e-05,4,n/a,0.0019889252725988626,0.0022536592247585454,0.002231279698510965,3227.7198472715295,deeponet,adam
123,2048,16,5e-05,1,n/a,0.005321225772301356,0.00556306013216575,0.005541392446806033,524.972770244504,deeponet,adam
124,2048,16,5e-05,2,n/a,0.002738760318607092,0.0029528035471836724,0.002926073813190063,1032.9874580577016,deeponet,adam
125,2048,16,5e-05,4,n/a,0.0030062904891868434,0.0033434185509880385,0.0033058923048277697,1364.913016838953,deeponet,adam
126,2048,16,0.0001,1,n/a,0.005181840465714534,0.0054239014474054175,0.005394413756827514,587.295506193613,deeponet,adam
127,2048,16,0.0001,2,n/a,0.00413676801448067,0.004383062788595756,0.004345965416481097,497.0992963304743,deeponet,adam
128,2048,16,0.0001,4,n/a,0.003722938864181439,0.004135617287829518,0.004099894547834992,1125.5112492398669,deeponet,adam
129,2048,16,0.0005,1,n/a,0.0046484749764204025,0.0049187711750467615,0.004910856795807679,413.7534203454852,deeponet,adam
130,2048,16,0.0005,2,n/a,0.006964225477228562,0.007247396744787693,0.007180000189691782,248.685553646336,deeponet,adam
131,2048,16,0.0005,4,n/a,0.010593942987422148,0.011002615094184875,0.010958394967019558,332.3884833557531,deeponet,adam
