,architecture,input_dim,layer_width,n_layers,n_modes,batch_size,learning_rate,n_epochs,patience,weight_decay,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,seed
191,deeponet,256,512,1,16,n/a,0.0005,90000,4500,0,0.005344735458493233,0.005537709686905146,0.005513003095984459,358.11308044102043,470369633
192,deeponet,256,256,4,8,n/a,0.0001,90000,4500,0,0.020814847201108932,0.02072163112461567,0.020387476310133934,380.2193225361407,20919771
193,deeponet,256,2048,4,16,n/a,1e-05,90000,4500,0,0.0020518575329333544,0.002324608387425542,0.0022946821991354227,3077.424863539636,341734666
194,deeponet,256,4098,4,32,n/a,1e-05,90000,4500,0,0.001414047321304679,0.0016845747595652938,0.0016640472458675504,13253.51880594343,388518128
195,deeponet,256,4098,4,16,n/a,0.0001,90000,4500,0,0.0058287507854402065,0.006272277794778347,0.0062040043994784355,2600.6926886010915,153028114
196,deeponet,256,2048,4,32,n/a,1e-05,90000,4500,0,0.0013461417984217405,0.0016282552387565374,0.0016041988274082541,4294.995590340346,535726003
197,deeponet,256,512,1,32,n/a,0.0005,90000,4500,0,0.0048295133747160435,0.0050006709061563015,0.004966641776263714,311.4332978865132,552689866
198,deeponet,256,1024,1,8,n/a,0.0005,90000,4500,0,0.021219443529844284,0.02114848420023918,0.020845798775553703,429.1984049938619,86844930
199,deeponet,256,512,4,16,n/a,1e-05,90000,4500,0,0.0020327537786215544,0.002298686420544982,0.002282456960529089,766.449057366699,412003034
200,deeponet,256,4098,4,8,n/a,5e-05,90000,4500,0,0.02103511616587639,0.021000342443585396,0.02067946456372738,4548.832077143714,699559968
201,deeponet,256,256,1,16,n/a,0.0001,90000,4500,0,0.00518459128215909,0.005338837392628193,0.005293476860970259,526.084472456947,589827555
202,deeponet,256,256,1,16,n/a,1e-05,90000,4500,0,0.0073954821564257145,0.007566605694591999,0.007538522128015757,571.6243747454137,759509397
203,deeponet,256,1024,4,8,n/a,1e-05,90000,4500,0,0.02076880633831024,0.020666299387812614,0.020333824679255486,1179.2605056036264,779567554
204,deeponet,256,1024,2,16,n/a,0.0001,90000,4500,0,0.002488782163709402,0.002714680042117834,0.0026773789431899786,600.3467857446522,112181190
205,deeponet,256,512,4,16,n/a,5e-05,90000,4500,0,0.001894958084449172,0.002169498009607196,0.0021584457717835903,654.9557309877127,579355644
206,deeponet,256,4098,4,32,n/a,1e-05,90000,4500,0,0.001904828124679625,0.0021735222544521093,0.002146820304915309,7804.14617210906,405698041
207,deeponet,256,2048,2,16,n/a,1e-05,90000,4500,0,0.001967616844922304,0.002160597126930952,0.0021503218449652195,1840.7788465665653,101597385
208,deeponet,256,2048,4,16,n/a,5e-05,90000,4500,0,0.002799877431243658,0.0031557732727378607,0.0031311200000345707,1428.209058132954,200007595
209,deeponet,256,512,4,32,n/a,0.0001,90000,4500,0,0.0019942910876125097,0.0023063519038259983,0.002309055533260107,712.4154633199796,995074550
210,deeponet,256,2048,4,8,n/a,0.0001,90000,4500,0,0.020889602601528168,0.020833518356084824,0.02050832100212574,1239.5596156818792,45492462
211,deeponet,256,512,1,8,n/a,0.0005,90000,4500,0,0.021891949698328972,0.021804874762892723,0.02152932807803154,225.7529429635033,813515630
212,deeponet,256,2048,2,32,n/a,1e-05,90000,4500,0,0.0015750814927741885,0.0017352055292576551,0.001730704098008573,1950.3687666831538,825689520
213,deeponet,256,4098,4,32,n/a,5e-05,90000,4500,0,0.0037223799154162407,0.004049479495733976,0.004028075374662876,3296.5940953921527,299329952
214,deeponet,256,512,1,8,n/a,1e-05,90000,4500,0,0.021562719717621803,0.021515656262636185,0.02119354158639908,431.7213199585676,324514046
215,deeponet,256,4098,2,8,n/a,0.0001,90000,4500,0,0.020952561870217323,0.02089114673435688,0.020558422431349754,2045.7040937561542,615535024
216,deeponet,256,512,1,8,n/a,1e-05,90000,4500,0,0.021585920825600624,0.021533271297812462,0.02120843157172203,400.121678031981,967071875
217,deeponet,256,2048,1,8,n/a,5e-05,90000,4500,0,0.02133241854608059,0.021267753094434738,0.020938502624630928,630.2794146146625,549706503
218,deeponet,256,1024,1,32,n/a,1e-05,90000,4500,0,0.005761479493230581,0.006052875425666571,0.006045747548341751,497.20850042719394,664724305
219,deeponet,256,4098,1,16,n/a,0.0005,90000,4500,0,0.006648923270404339,0.006906452588737011,0.006927222479134798,314.04567510820925,526557610
220,deeponet,256,1024,2,16,n/a,0.0001,90000,4500,0,0.0029759916942566633,0.0031684094574302435,0.003153123427182436,406.09239420387894,248084446
221,deeponet,256,512,2,16,n/a,1e-05,90000,4500,0,0.0022522679064422846,0.0024505495093762875,0.002423206577077508,645.6561547545716,798529950
222,deeponet,256,512,4,8,n/a,1e-05,90000,4500,0,0.020736923441290855,0.02063249796628952,0.020295722410082817,801.8990279175341,630522258
223,deeponet,256,1024,4,8,n/a,5e-05,90000,4500,0,0.02093803696334362,0.02085316926240921,0.02052384428679943,471.6084244539961,857507418
224,deeponet,256,4098,4,32,n/a,0.0005,90000,4500,0,0.010732026770710945,0.010992243885993958,0.010967772454023361,1162.235904914327,472435774
225,deeponet,256,1024,4,16,n/a,1e-05,90000,4500,0,0.0017347465036436915,0.0020049402955919504,0.001989525044336915,1552.4162147510797,394166375
226,deeponet,256,256,4,16,n/a,0.0001,90000,4500,0,0.002458071568980813,0.0027215653099119663,0.0027205769438296556,631.0870750090107,765804004
227,deeponet,256,2048,1,8,n/a,5e-05,90000,4500,0,0.021334096789360046,0.02126803621649742,0.02094295248389244,493.3345056399703,282464298
228,deeponet,256,2048,4,16,n/a,1e-05,90000,4500,0,0.001836326438933611,0.00209780759178102,0.002085026353597641,3597.8444631546736,115582089
229,deeponet,256,512,4,8,n/a,5e-05,90000,4500,0,0.020812438800930977,0.020711716264486313,0.020382462069392204,401.2098982175812,945871546
230,deeponet,256,2048,4,16,n/a,0.0005,90000,4500,0,0.008565203286707401,0.00903189554810524,0.00898988638073206,367.7898791451007,386071602
231,deeponet,256,512,1,32,n/a,0.0001,90000,4500,0,0.004374176729470491,0.004537475761026144,0.0045280493795871735,517.8972813896835,440667238
232,deeponet,256,4098,1,8,n/a,5e-05,90000,4500,0,0.0216989703476429,0.021642135456204414,0.021323779597878456,723.659570411779,909120312
233,deeponet,256,4098,1,8,n/a,0.0005,90000,4500,0,0.022299237549304962,0.022247597575187683,0.02194100432097912,282.8400229765102,898948760
234,deeponet,256,256,2,8,n/a,0.0001,90000,4500,0,0.02077183686196804,0.02065930888056755,0.02032661996781826,476.1379451099783,41221191
235,deeponet,256,2048,1,16,n/a,0.0005,90000,4500,0,0.004339531064033508,0.004606182221323252,0.004608869552612305,460.95647913683206,196511792
236,deeponet,256,2048,4,32,n/a,0.0005,90000,4500,0,0.009510884061455727,0.009853165596723557,0.009827029891312122,286.81300438940525,397871460
237,deeponet,256,512,1,32,n/a,0.0005,90000,4500,0,0.003929979167878628,0.004111680202186108,0.004070256371051073,518.4193447837606,256183548
238,deeponet,256,4098,2,32,n/a,1e-05,90000,4500,0,0.001605285913683474,0.0017883850960060954,0.0017746022203937173,5969.507759867236,572192604
239,deeponet,256,1024,1,8,n/a,0.0005,90000,4500,0,0.021407241001725197,0.021346531808376312,0.021044176071882248,372.80601781979203,715957256
240,deeponet,256,4098,4,8,n/a,5e-05,90000,4500,0,0.021272342652082443,0.021231280639767647,0.02088385820388794,5031.14818160329,252851789
241,deeponet,256,2048,2,16,n/a,1e-05,90000,4500,0,0.002013563644140959,0.002212743042036891,0.002184545621275902,1893.574580842629,9451905
242,deeponet,256,4098,2,32,n/a,5e-05,90000,4500,0,0.0027084648609161377,0.0029098091181367636,0.0028887612279504538,2255.5144222797826,572793186
243,deeponet,256,2048,4,16,n/a,5e-05,90000,4500,0,0.003428763011470437,0.003739040344953537,0.003671559039503336,1207.4708376713097,97489987
244,deeponet,256,1024,1,8,n/a,0.0005,90000,4500,0,0.021426895633339882,0.021359292790293694,0.021057531237602234,338.8389800544828,197635992
245,deeponet,256,256,1,8,n/a,5e-05,90000,4500,0,0.02141386829316616,0.02133101224899292,0.02102452889084816,497.43292342778295,939915388
246,deeponet,256,2048,4,8,n/a,0.0001,90000,4500,0,0.021201791241765022,0.021158726885914803,0.020843278616666794,967.6416648151353,369046009
247,deeponet,256,256,4,8,n/a,0.0005,90000,4500,0,0.02107776515185833,0.02105305902659893,0.020748527720570564,149.29130499251187,671695556
248,deeponet,256,2048,2,16,n/a,0.0005,90000,4500,0,0.005559366196393967,0.005869010929018259,0.0058269258588552475,309.2493854155764,247588202
249,deeponet,256,1024,2,16,n/a,5e-05,90000,4500,0,0.0019456733716651797,0.0021436994429677725,0.002125980332493782,775.5848490362987,904120773
250,deeponet,256,4098,4,32,n/a,5e-05,90000,4500,0,0.0027672324795275927,0.0031313602812588215,0.0031006953213363886,5764.031888363883,933166842
251,deeponet,256,512,4,16,n/a,0.0005,90000,4500,0,0.005040742456912994,0.005702552851289511,0.005605737213045359,132.22606858145446,471887507
252,deeponet,256,256,2,16,n/a,1e-05,90000,4500,0,0.0029288900550454855,0.003135842736810446,0.003098319284617901,612.2194766653702,256674117
253,deeponet,256,4098,1,16,n/a,5e-05,90000,4500,0,0.005398822948336601,0.005658246576786041,0.005606314167380333,868.7606160566211,544357601
254,deeponet,256,4098,4,16,n/a,1e-05,90000,4500,0,0.0037633811589330435,0.00402402225881815,0.003995359875261784,5227.707158913836,624875925
255,deeponet,256,256,4,16,n/a,0.0001,90000,4500,0,0.002238757209852338,0.002489103004336357,0.002495548455044627,685.961266615428,239031836
256,deeponet,256,2048,4,16,n/a,0.0005,90000,4500,0,0.01002263929694891,0.010431543923914433,0.010441659018397331,349.0780567768961,354095263
257,deeponet,256,256,2,8,n/a,0.0001,90000,4500,0,0.020820429548621178,0.020721184089779854,0.02038625255227089,368.9289673315361,390840584
258,deeponet,256,4098,2,32,n/a,5e-05,90000,4500,0,0.0024182782508432865,0.0026269289664924145,0.002598030958324671,3082.4927519029006,602124153
259,deeponet,256,256,4,16,n/a,0.0001,90000,4500,0,0.00227067107334733,0.0025361140724271536,0.0025377976708114147,627.5715292952955,583150387
260,deeponet,256,256,1,8,n/a,5e-05,90000,4500,0,0.021331848576664925,0.021251071244478226,0.020927442237734795,505.3255150206387,878232458
261,deeponet,256,512,4,8,n/a,1e-05,90000,4500,0,0.020737778395414352,0.020632971078157425,0.02029849775135517,818.8486467599869,21644485
262,deeponet,256,1024,2,16,n/a,5e-05,90000,4500,0,0.0019481086637824774,0.002161724492907524,0.0021286136470735073,804.8104453133419,860789183
263,deeponet,256,2048,1,8,n/a,1e-05,90000,4500,0,0.021334316581487656,0.021274643018841743,0.020944250747561455,642.156621415168,726112617
264,deeponet,256,512,4,16,n/a,0.0005,90000,4500,0,0.0041956002824008465,0.005145138595253229,0.005141776520758867,313.4318038094789,603594142
265,deeponet,256,512,2,16,n/a,1e-05,90000,4500,0,0.002333177486434579,0.0025650274474173784,0.0025318211410194635,672.607759270817,18507261
266,deeponet,256,256,2,16,n/a,1e-05,90000,4500,0,0.0027174241840839386,0.002945957239717245,0.0029107220470905304,569.9007588215172,570140649
267,deeponet,256,4098,1,16,n/a,5e-05,90000,4500,0,0.005465317517518997,0.005726134404540062,0.005658081267029047,944.6051116008312,636189214
268,deeponet,256,256,2,8,n/a,0.0005,90000,4500,0,0.021141737699508667,0.02105572074651718,0.020710360258817673,182.05948030669242,61801087
269,deeponet,256,4098,1,8,n/a,5e-05,90000,4500,0,0.021568119525909424,0.02151327021420002,0.02119118720293045,803.7767347292975,240685404
